first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Len,Bentley,,175.26,155.0,,,10,6,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Steve,Berger,The Red Nosed Pitbull,180.34,170.0,,Orthodox,21,23,2,36.0,129.0,,5.0,1.0,3.26,0.84,1.67,,,0.0,28.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.983333333333333
Kenneth,Bergh,,187.96,205.0,74.0,Orthodox,8,0,0,18.0,24.0,,1.0,4.56,1.27,0.0,0.0,,0.0,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95
Bret,Bergmark,The Angry Hick,175.26,170.0,,,6,1,1,10.0,19.0,,1.0,2.78,2.78,4.17,4.17,,,0.0,53.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3
Keith,Berish,Sha Bang Bang,182.88,205.0,,Orthodox,5,1,0,61.0,168.0,2.0,5.0,3.58,4.81,1.76,0.0,,0.0,,36.0,40.0,2.0,40.0,1.0,20.0,2.0,40.0,8.533333333333333
Dennis,Bermudez,The Menace,167.64,155.0,66.0,Orthodox,17,9,0,870.0,1881.0,46.0,127.0,4.42,3.07,3.89,1.07,,,0.38,46.0,40.0,4.0,24.0,9.0,53.0,4.0,24.0,11.583333333333334
Manny,Bermudez,The Bermudez Triangle,177.8,145.0,71.0,Orthodox,14,2,0,86.0,140.0,1.0,11.0,2.92,2.68,3.06,3.06,,0.51,,61.0,55.0,1.0,7.0,2.0,14.0,11.0,79.0,5.883333333333334
Talita,Bernardo,,162.56,135.0,68.0,Orthodox,6,4,0,174.0,413.0,4.0,27.0,3.12,4.04,1.62,0.54,,,0.0,42.0,22.0,0.0,0.0,2.0,33.0,4.0,67.0,13.933333333333334
Dave,Berry,,,,,,0,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Keith,Berry,,185.42,185.0,,,15,14,1,1.0,8.0,,,0.27,6.27,0.0,0.0,,0.0,,13.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,6.683333333333334
Dieusel,Berto,,175.26,200.0,,,0,3,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Edson,Berto,Little Tiger,167.64,155.0,,Orthodox,17,12,1,,,,,,,,,,,,,,,,,,,,
Allen,Berube,Monstah Lobstah,172.72,155.0,,Orthodox,4,3,0,4.0,5.0,,2.0,0.92,0.92,6.87,3.44,,0.0,,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.366666666666666
Anton,Berzin,The Body Snatcher,187.96,205.0,,Orthodox,5,1,0,66.0,141.0,,7.0,4.4,6.8,2.0,1.0,,0.0,,47.0,29.0,1.0,20.0,0.0,0.0,4.0,80.0,15.0
Scott,Bessac,,193.04,245.0,,,4,6,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Matt,Bessette,The Mangler,177.8,145.0,70.0,Orthodox,22,9,0,204.0,493.0,,7.0,4.36,4.45,0.64,0.32,,,0.32,41.0,29.0,7.0,32.0,7.0,32.0,8.0,36.0,9.35
Khadzhi,Bestaev,Best,198.12,185.0,76.0,,10,4,0,,,,,,,,,,,,,,,,,,,,
Fernando,Bettega,,,170.0,,,7,5,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Arjan,Bhullar,,185.42,245.0,75.0,Orthodox,9,1,0,,,,,,,,,,,,,,,,,,,,
KB,Bhullar,The Bengal,193.04,185.0,78.0,Switch,8,2,0,72.0,146.0,,,4.31,5.39,0.0,0.0,,0.0,,49.0,4.31,4.0,50.0,2.0,25.0,2.0,25.0,8.35
Magomed,Bibulatov,Chaborz,165.1,125.0,65.0,Orthodox,14,2,0,114.0,223.0,2.0,15.0,3.6,1.83,2.85,0.0,,,0.0,51.0,40.0,2.0,14.0,7.0,50.0,5.0,36.0,10.55
